run_label,instance,seed,metric,value
stage03.2_cache_incremental_attempt03,rc101_21,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc101_21,2014,cache_stores,1582
stage03.2_cache_incremental_attempt03,rc101_21,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc101_21,2014,incremental_propagations,40
stage03.2_cache_incremental_attempt03,rc101_21,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc101_21,2015,cache_hits,15960
stage03.2_cache_incremental_attempt03,rc101_21,2015,cache_lookups,17499
stage03.2_cache_incremental_attempt03,rc101_21,2015,cache_misses,1539
stage03.2_cache_incremental_attempt03,rc101_21,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc101_21,2015,cache_stores,1539
stage03.2_cache_incremental_attempt03,rc101_21,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc101_21,2015,incremental_propagations,40
stage03.2_cache_incremental_attempt03,rc101_21,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc101_21,2016,cache_hits,16273
stage03.2_cache_incremental_attempt03,rc101_21,2016,cache_lookups,17866
stage03.2_cache_incremental_attempt03,rc101_21,2016,cache_misses,1593
stage03.2_cache_incremental_attempt03,rc101_21,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc101_21,2016,cache_stores,1593
stage03.2_cache_incremental_attempt03,rc101_21,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc101_21,2016,incremental_propagations,40
stage03.2_cache_incremental_attempt03,rc102C10,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc102C10,2014,cache_hits,16606
stage03.2_cache_incremental_attempt03,rc102C10,2014,cache_lookups,16742
stage03.2_cache_incremental_attempt03,rc102C10,2014,cache_misses,136
stage03.2_cache_incremental_attempt03,rc102C10,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc102C10,2014,cache_stores,136
stage03.2_cache_incremental_attempt03,rc102C10,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc102C10,2014,incremental_propagations,33
stage03.2_cache_incremental_attempt03,rc102C10,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc102C10,2015,cache_hits,16744
stage03.2_cache_incremental_attempt03,rc102C10,2015,cache_lookups,16867
stage03.2_cache_incremental_attempt03,rc102C10,2015,cache_misses,123
stage03.2_cache_incremental_attempt03,rc102C10,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc102C10,2015,cache_stores,123
stage03.2_cache_incremental_attempt03,rc102C10,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc102C10,2015,incremental_propagations,34
stage03.2_cache_incremental_attempt03,rc102C10,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc102C10,2016,cache_hits,16040
stage03.2_cache_incremental_attempt03,rc102C10,2016,cache_lookups,16178
stage03.2_cache_incremental_attempt03,rc102C10,2016,cache_misses,138
stage03.2_cache_incremental_attempt03,rc102C10,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc102C10,2016,cache_stores,138
stage03.2_cache_incremental_attempt03,rc102C10,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc102C10,2016,incremental_propagations,34
stage03.2_cache_incremental_attempt03,rc103C15,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc103C15,2014,cache_hits,47587
stage03.2_cache_incremental_attempt03,rc103C15,2014,cache_lookups,48454
stage03.2_cache_incremental_attempt03,rc103C15,2014,cache_misses,867
stage03.2_cache_incremental_attempt03,rc103C15,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc103C15,2014,cache_stores,867
stage03.2_cache_incremental_attempt03,rc103C15,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc103C15,2014,incremental_propagations,38
stage03.2_cache_incremental_attempt03,rc103C15,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc103C15,2015,cache_hits,48925
stage03.2_cache_incremental_attempt03,rc103C15,2015,cache_lookups,49753
stage03.2_cache_incremental_attempt03,rc103C15,2015,cache_misses,828
stage03.2_cache_incremental_attempt03,rc103C15,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc103C15,2015,cache_stores,828
stage03.2_cache_incremental_attempt03,rc103C15,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc103C15,2015,incremental_propagations,38
stage03.2_cache_incremental_attempt03,rc103C15,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc103C15,2016,cache_hits,48720
stage03.2_cache_incremental_attempt03,rc103C15,2016,cache_lookups,49603
stage03.2_cache_incremental_attempt03,rc103C15,2016,cache_misses,883
stage03.2_cache_incremental_attempt03,rc103C15,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,rc103C15,2016,cache_stores,883
stage03.2_cache_incremental_attempt03,rc103C15,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,rc103C15,2016,incremental_propagations,38
stage03.2_cache_incremental_attempt03,rc105C5,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc105C5,2014,cache_hits,3397
stage03.2_cache_incremental_attempt03,rc105C5,2014,cache_lookups,3419
stage03.2_cache_incremental_attempt03,rc105C5,2014,cache_misses,22
